curriculum_track,skill_name,recommendation,generated_by,date_generated
CS Intelligent Systems,aws,Critical industry skill not sufficiently covered: aws,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,business intelligence,Critical industry skill not sufficiently covered: business intelligence,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,data warehouse,Critical industry skill not sufficiently covered: data warehouse,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,excel,Critical industry skill not sufficiently covered: excel,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,full stack,Critical industry skill not sufficiently covered: full stack,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,git,Critical industry skill not sufficiently covered: git,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,information security,Critical industry skill not sufficiently covered: information security,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,linux,Critical industry skill not sufficiently covered: linux,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,scala,Critical industry skill not sufficiently covered: scala,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,ssis,Critical industry skill not sufficiently covered: ssis,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,802.11,Additional skill that could be added or strengthened: 802.11,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,a/b testing,Additional skill that could be added or strengthened: a/b testing,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,ab testing,Additional skill that could be added or strengthened: ab testing,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,active directory,Additional skill that could be added or strengthened: active directory,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,activemq,Additional skill that could be added or strengthened: activemq,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,adf,Additional skill that could be added or strengthened: adf,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,advanced excel,Additional skill that could be added or strengthened: advanced excel,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,agile,Additional skill that could be added or strengthened: agile,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,airflow,Additional skill that could be added or strengthened: airflow,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,aks,Additional skill that could be added or strengthened: aks,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,amazon web services,Additional skill that could be added or strengthened: amazon web services,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,angular,Additional skill that could be added or strengthened: angular,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,angular.js,Additional skill that could be added or strengthened: angular.js,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,angularjs,Additional skill that could be added or strengthened: angularjs,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,ansible,Additional skill that could be added or strengthened: ansible,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,apache,Additional skill that could be added or strengthened: apache,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,apache airflow,Additional skill that could be added or strengthened: apache airflow,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,apache nifi,Additional skill that could be added or strengthened: apache nifi,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,api development,Additional skill that could be added or strengthened: api development,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,application monitoring,Additional skill that could be added or strengthened: application monitoring,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,asp.net,Additional skill that could be added or strengthened: asp.net,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,asp.net core,Additional skill that could be added or strengthened: asp.net core,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,aws glue,Additional skill that could be added or strengthened: aws glue,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,azure,Additional skill that could be added or strengthened: azure,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,azure data factory,Additional skill that could be added or strengthened: azure data factory,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,azure sql,Additional skill that could be added or strengthened: azure sql,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,azure sql database,Additional skill that could be added or strengthened: azure sql database,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,backend,Additional skill that could be added or strengthened: backend,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,backup and recovery,Additional skill that could be added or strengthened: backup and recovery,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,bamboo,Additional skill that could be added or strengthened: bamboo,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,bash,Additional skill that could be added or strengthened: bash,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,batch processing,Additional skill that could be added or strengthened: batch processing,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,bayesian,Additional skill that could be added or strengthened: bayesian,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,bayesian modeling,Additional skill that could be added or strengthened: bayesian modeling,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,bdd,Additional skill that could be added or strengthened: bdd,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,beam,Additional skill that could be added or strengthened: beam,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,bgp,Additional skill that could be added or strengthened: bgp,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,big query,Additional skill that could be added or strengthened: big query,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,bigquery,Additional skill that could be added or strengthened: bigquery,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,bigtable,Additional skill that could be added or strengthened: bigtable,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,bitbucket,Additional skill that could be added or strengthened: bitbucket,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,c and c++,Additional skill that could be added or strengthened: c and c++,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,c/c++,Additional skill that could be added or strengthened: c/c++,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,cassandra,Additional skill that could be added or strengthened: cassandra,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,centos,Additional skill that could be added or strengthened: centos,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,chef,Additional skill that could be added or strengthened: chef,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,ci/cd,Additional skill that could be added or strengthened: ci/cd,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,circleci,Additional skill that could be added or strengthened: circleci,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,cisco ios,Additional skill that could be added or strengthened: cisco ios,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,cloud architecture,Additional skill that could be added or strengthened: cloud architecture,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,cloud security,Additional skill that could be added or strengthened: cloud security,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,cloud sql,Additional skill that could be added or strengthened: cloud sql,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,cloud storage,Additional skill that could be added or strengthened: cloud storage,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,cloudformation,Additional skill that could be added or strengthened: cloudformation,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,cognos,Additional skill that could be added or strengthened: cognos,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,collibra,Additional skill that could be added or strengthened: collibra,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,configuration management,Additional skill that could be added or strengthened: configuration management,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,confluence,Additional skill that could be added or strengthened: confluence,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,continuous delivery,Additional skill that could be added or strengthened: continuous delivery,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,continuous deployment,Additional skill that could be added or strengthened: continuous deployment,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
