curriculum_track,job_title,job_cluster,score,rank_small,model,computed_at
CS Intelligent Systems,Machine Learning,Cluster_7,0.9904170632362366,1,sbert+siamese_kmeans,2025-12-06T05:04:26.848884
CS Intelligent Systems,Data Scientist,Cluster_0,0.8758290410041809,2,sbert+siamese_kmeans,2025-12-06T05:04:26.848884
CS Intelligent Systems,Big Data Engineer,Cluster_0,0.4906231462955475,3,sbert+siamese_kmeans,2025-12-06T05:04:26.848884
CS Intelligent Systems,Information Security Analyst,Cluster_7,0.4295215308666229,4,sbert+siamese_kmeans,2025-12-06T05:04:26.848884
CS Intelligent Systems,Data Analyst,Cluster_0,0.40436503291130066,5,sbert+siamese_kmeans,2025-12-06T05:04:26.848884
CS Intelligent Systems,Database Administrator,Cluster_0,0.3958049714565277,6,sbert+siamese_kmeans,2025-12-06T05:04:26.848884
CS Intelligent Systems,Cloud Architect,Cluster_4,0.3829869031906128,7,sbert+siamese_kmeans,2025-12-06T05:04:26.848884
CS Intelligent Systems,Data and Analytics Manager,Cluster_6,0.3771398961544037,8,sbert+siamese_kmeans,2025-12-06T05:04:26.848884
CS Intelligent Systems,IT Consultant,Cluster_7,0.3762516677379608,9,sbert+siamese_kmeans,2025-12-06T05:04:26.848884
CS Intelligent Systems,Cloud Services Developer,Cluster_0,0.3585139214992523,10,sbert+siamese_kmeans,2025-12-06T05:04:26.848884
CS Intelligent Systems,Data Architect,Cluster_6,0.35453057289123535,11,sbert+siamese_kmeans,2025-12-06T05:04:26.848884
CS Intelligent Systems,Data Quality Manager,Cluster_6,0.3474864363670349,12,sbert+siamese_kmeans,2025-12-06T05:04:26.848884
CS Intelligent Systems,Full Stack Developer,Cluster_7,0.34703758358955383,13,sbert+siamese_kmeans,2025-12-06T05:04:26.848884
CS Intelligent Systems,Data Engineer,Cluster_6,0.3345285654067993,14,sbert+siamese_kmeans,2025-12-06T05:04:26.848884
CS Intelligent Systems,Business Analyst,Cluster_6,0.33332106471061707,15,sbert+siamese_kmeans,2025-12-06T05:04:26.848884
CS Intelligent Systems,Artificial Intelligence,Cluster_7,0.3252668082714081,16,sbert+siamese_kmeans,2025-12-06T05:04:26.848884
CS Intelligent Systems,Network Architect,Cluster_2,0.3245142996311188,17,sbert+siamese_kmeans,2025-12-06T05:04:26.848884
CS Intelligent Systems,Data Visualization Expert,Cluster_7,0.32272541522979736,18,sbert+siamese_kmeans,2025-12-06T05:04:26.848884
CS Intelligent Systems,Deep Learning,Cluster_7,0.3176056146621704,19,sbert+siamese_kmeans,2025-12-06T05:04:26.848884
CS Intelligent Systems,IT Systems Administrator,Cluster_0,0.255397766828537,20,sbert+siamese_kmeans,2025-12-06T05:04:26.848884
