curriculum_track,job_title,skill_name,similarity_score,status,model,computed_at
CS Intelligent Systems,Machine Learning,swift,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,database administration,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,sns,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,spark streaming,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,computer vision,1.0,match,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,information security,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,pig,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,cassandra,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,restful apis,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,ids,1.0,match,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,golang,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,nodejs,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,docker,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,postgres,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,machine learning,1.0,match,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,scikit-learn,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,excel,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,keras,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,disaster recovery,1.0,match,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,teradata,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,web services,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,activemq,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,shell scripting,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,shell,1.0,match,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,t-sql,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,frontend,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,qlikview,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,r programming,1.0,match,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,jupyter notebook,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,flask,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,office 365,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,express,1.0,match,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,redis,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,data visualization,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,xgboost,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,data pipeline,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,vba,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,kotlin,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,rest api,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,cognos,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,deep learning,1.0,match,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,penetration testing,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,data analysis,1.0,match,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,redshift,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,spring,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,etl,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,data transformation,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,data ingestion,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,oracle,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,s3,1.0,match,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,data mart,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,data warehousing,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,recommendation systems,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,postgresql,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,data cleaning,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,feature engineering,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,batch processing,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,configuration management,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,jquery,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,spark mllib,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,system design,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,bitbucket,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,back-end,1.0,match,keyword_overlap_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,Machine Learning,mdm,0.0,gap,keyword_overlap_v1,2025-12-06T05:04:26.848884
