curriculum_track,job_title,skill_name,similarity_score,status,model,computed_at
CS Intelligent Systems,"Data Scientist, Personalization",oop,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,"Data Scientist, Personalization",machine learning,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,"Data Scientist, Personalization",less,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,"Data Scientist, Personalization",excel,0.0,gap,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,"Data Scientist, Personalization",recommender systems,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,"Data Scientist, Personalization",lan,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,"Data Scientist, Personalization",python,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,"Data Scientist, Personalization",sql,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,"Data Scientist, Personalization",statistics,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,Research Intern,tensorflow,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,Research Intern,deep learning,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,Research Intern,pytorch,0.0,gap,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,Research Intern,machine learning,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,Research Intern,perl,0.0,gap,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,Research Intern,reinforcement learning,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,Research Intern,lan,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,Research Intern,python,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,Research Intern,natural language processing,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,Sr. Data Scientist,agile,0.0,gap,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,Sr. Data Scientist,machine learning,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,Sr. Data Scientist,data analytics,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,Sr. Data Scientist,python,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,Sr. Data Scientist,sql,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,Sr. Data Scientist,data quality,0.0,gap,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,Sr. Data Scientist,statistics,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,"Research Software Development Engineer in Artificial Intelligence (Req.
10064)",nodejs,0.0,gap,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,"Research Software Development Engineer in Artificial Intelligence (Req.
10064)",shell,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,"Research Software Development Engineer in Artificial Intelligence (Req.
10064)",machine learning,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,"Research Software Development Engineer in Artificial Intelligence (Req.
10064)",java,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,"Research Software Development Engineer in Artificial Intelligence (Req.
10064)",aws,0.0,gap,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,"Research Software Development Engineer in Artificial Intelligence (Req.
10064)",scala,0.0,gap,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,"Research Software Development Engineer in Artificial Intelligence (Req.
10064)",graphql,0.0,gap,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,"Research Software Development Engineer in Artificial Intelligence (Req.
10064)",vue,0.0,gap,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,"Research Software Development Engineer in Artificial Intelligence (Req.
10064)",excel,0.0,gap,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,"Research Software Development Engineer in Artificial Intelligence (Req.
10064)",react,0.0,gap,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,"Research Software Development Engineer in Artificial Intelligence (Req.
10064)",python,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,"Research Software Development Engineer in Artificial Intelligence (Req.
10064)",lan,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,"Research Software Development Engineer in Artificial Intelligence (Req.
10064)",distributed systems,0.0,gap,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,"Research Software Development Engineer in Artificial Intelligence (Req.
10064)",git,0.0,gap,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,"Research Software Development Engineer in Artificial Intelligence (Req.
10064)",natural language processing,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,"Research Software Development Engineer in Artificial Intelligence (Req.
10064)",artificial intelligence,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,"Research Software Development Engineer in Artificial Intelligence (Req.
10064)",javascript,0.0,gap,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,Deep Learning Systems Engineer,deep learning,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,Deep Learning Systems Engineer,machine learning,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,Deep Learning Systems Engineer,feature engineering,0.0,gap,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,Deep Learning Systems Engineer,computer vision,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,Deep Learning Systems Engineer,c++,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,Deep Learning Systems Engineer,lan,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
CS Intelligent Systems,Deep Learning Systems Engineer,python,1.0,match,keyword_overlap_v1,2025-12-02T14:09:53.935173
