track,course_code,course_title,skill_name,relevance
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,artificial intelligence,3
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,neural network models,5
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,remote sensing,5
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,expert systems,5
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,ai applications,5
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,natural language processing,5
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,specialized or current interest,5
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,deals,5
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,topics,5
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,machine learning,5
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,intelligent agents,4
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,problem solving,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,solutions,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,basic principles,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,perception,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,knowledge representation,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,different fields,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,different applications,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,technology,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,21st century skills,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,agents,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,simple reflex agents,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,model- based agents,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,utility-based agents,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,goal-based agents,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,different types,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,environments,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,action components,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,reasoning,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,define problem,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,multi,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,agent,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,problems,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,uninformed blind search,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,informed heuristic search,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,different search strategies,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,breadth-first search,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,depth-first search,1
