Course Code,Course Title,Course Description,Outcome Type,Period,Outcome Number,Outcome Text
S-CSIS426,Special Topics in Artificial Intelligence,"Deals with topics on specialized or current interest which may change. It includes expert systems, natural language processing, neural network models, machine learning, and AI applications in remote sensing.",Course Learning Outcome,,CLO1,relate a deeper understanding of the history of artificial intelligence (AI) and its foundations;
S-CSIS426,Special Topics in Artificial Intelligence,"Deals with topics on specialized or current interest which may change. It includes expert systems, natural language processing, neural network models, machine learning, and AI applications in remote sensing.",Course Learning Outcome,,CLO2,understand intelligent agents and their operational contexts;
S-CSIS426,Special Topics in Artificial Intelligence,"Deals with topics on specialized or current interest which may change. It includes expert systems, natural language processing, neural network models, machine learning, and AI applications in remote sensing.",Course Learning Outcome,,CLO3,"apply basic principles of AI in solutions that require problem solving, inference, perception, knowledge representation, and learning;"
S-CSIS426,Special Topics in Artificial Intelligence,"Deals with topics on specialized or current interest which may change. It includes expert systems, natural language processing, neural network models, machine learning, and AI applications in remote sensing.",Course Learning Outcome,,CLO4,recognize the concepts of artificial intelligence in different fields;
S-CSIS426,Special Topics in Artificial Intelligence,"Deals with topics on specialized or current interest which may change. It includes expert systems, natural language processing, neural network models, machine learning, and AI applications in remote sensing.",Course Learning Outcome,,CLO5,discover the importance of technology by creating different applications;
S-CSIS426,Special Topics in Artificial Intelligence,"Deals with topics on specialized or current interest which may change. It includes expert systems, natural language processing, neural network models, machine learning, and AI applications in remote sensing.",Course Learning Outcome,,CLO6,relate 21st century skills in all learning activities.
S-CSIS426,Special Topics in Artificial Intelligence,"Deals with topics on specialized or current interest which may change. It includes expert systems, natural language processing, neural network models, machine learning, and AI applications in remote sensing.",Topic Learning Outcome,Midterm,TLO1,Distinguish the history of Al and its foundations.
S-CSIS426,Special Topics in Artificial Intelligence,"Deals with topics on specialized or current interest which may change. It includes expert systems, natural language processing, neural network models, machine learning, and AI applications in remote sensing.",Topic Learning Outcome,Midterm,TLO2,Classify the structures of agents and its environments.
S-CSIS426,Special Topics in Artificial Intelligence,"Deals with topics on specialized or current interest which may change. It includes expert systems, natural language processing, neural network models, machine learning, and AI applications in remote sensing.",Topic Learning Outcome,Midterm,TLO3,"Differentiate between various types of intelligent agents (e.g., simple reflex agents, model- based agents, goal-based agents, utility-based agents)."
S-CSIS426,Special Topics in Artificial Intelligence,"Deals with topics on specialized or current interest which may change. It includes expert systems, natural language processing, neural network models, machine learning, and AI applications in remote sensing.",Topic Learning Outcome,Midterm,TLO4,"Describe different types of environments in which intelligent agents operate (e.g., fully observable vs. partially observable, deterministic vs. stochastic, episodic vs. sequential)."
S-CSIS426,Special Topics in Artificial Intelligence,"Deals with topics on specialized or current interest which may change. It includes expert systems, natural language processing, neural network models, machine learning, and AI applications in remote sensing.",Topic Learning Outcome,Midterm,TLO5,"Explain the architecture of intelligent agents, including the perception, reasoning, and action components."
S-CSIS426,Special Topics in Artificial Intelligence,"Deals with topics on specialized or current interest which may change. It includes expert systems, natural language processing, neural network models, machine learning, and AI applications in remote sensing.",Topic Learning Outcome,Midterm,TLO6,Define problem solving in the context of artificial intelligence.
